Environment: CartPole-v0, Frames: 1000000.0
Algorithm Parameters: {'algorithm': 'IS', 'batch_size': 50, 'gamma': 0.99, 'learning_rate': 0.001, 'start_epsilon': 1.0, 'stop_epsilon': 0.001, 'epsilon_decay': 0.0001, 'use_stochastic_delay': False, 'delay': 0, 'min_delay': 0, 'seed': 0} 
Model Parameters: {'hidden_units': [200], 'max_buffer_size': 1000, 'min_buffer_size': 100, 'copy_step': 25, 'max_dimension': 0} 
Run: 0 
episode:0, eps:1.000, avg reward (last 100):-1531.93, avg loss:35.88
episode:1, eps:0.980, avg reward (last 100):-1496.50, avg loss:37.35
episode:2, eps:0.961, avg reward (last 100):-1338.23, avg loss:44.27
episode:3, eps:0.942, avg reward (last 100):-1290.07, avg loss:54.57
episode:4, eps:0.923, avg reward (last 100):-1226.73, avg loss:64.46
episode:5, eps:0.904, avg reward (last 100):-1218.99, avg loss:74.88
episode:6, eps:0.887, avg reward (last 100):-1215.31, avg loss:81.85
episode:7, eps:0.869, avg reward (last 100):-1174.63, avg loss:85.74
episode:8, eps:0.852, avg reward (last 100):-1209.39, avg loss:89.06
episode:9, eps:0.835, avg reward (last 100):-1206.24, avg loss:91.65
episode:10, eps:0.818, avg reward (last 100):-1189.08, avg loss:94.05
episode:11, eps:0.802, avg reward (last 100):-1180.58, avg loss:98.18
episode:12, eps:0.786, avg reward (last 100):-1191.42, avg loss:102.31
episode:13, eps:0.771, avg reward (last 100):-1183.77, avg loss:106.23
episode:14, eps:0.755, avg reward (last 100):-1184.74, avg loss:107.44
episode:15, eps:0.740, avg reward (last 100):-1184.50, avg loss:108.54
episode:16, eps:0.726, avg reward (last 100):-1213.72, avg loss:108.32
episode:17, eps:0.711, avg reward (last 100):-1211.53, avg loss:108.89
episode:18, eps:0.697, avg reward (last 100):-1207.79, avg loss:108.00
episode:19, eps:0.683, avg reward (last 100):-1212.60, avg loss:106.52
episode:20, eps:0.670, avg reward (last 100):-1206.61, avg loss:106.32
episode:21, eps:0.656, avg reward (last 100):-1201.29, avg loss:106.16
episode:22, eps:0.643, avg reward (last 100):-1201.25, avg loss:105.37
episode:23, eps:0.631, avg reward (last 100):-1193.00, avg loss:105.28
episode:24, eps:0.618, avg reward (last 100):-1181.58, avg loss:105.47
episode:25, eps:0.606, avg reward (last 100):-1177.21, avg loss:103.91
episode:26, eps:0.594, avg reward (last 100):-1177.01, avg loss:103.30
episode:27, eps:0.582, avg reward (last 100):-1177.82, avg loss:102.53
episode:28, eps:0.571, avg reward (last 100):-1172.12, avg loss:101.62
episode:29, eps:0.559, avg reward (last 100):-1172.69, avg loss:101.07
episode:30, eps:0.548, avg reward (last 100):-1184.47, avg loss:100.04
episode:31, eps:0.537, avg reward (last 100):-1175.73, avg loss:99.95
episode:32, eps:0.527, avg reward (last 100):-1174.88, avg loss:99.63
episode:33, eps:0.516, avg reward (last 100):-1175.88, avg loss:99.21
episode:34, eps:0.506, avg reward (last 100):-1176.47, avg loss:99.32
episode:35, eps:0.496, avg reward (last 100):-1190.40, avg loss:99.56
episode:36, eps:0.486, avg reward (last 100):-1183.05, avg loss:99.64
episode:37, eps:0.477, avg reward (last 100):-1178.49, avg loss:100.25
episode:38, eps:0.467, avg reward (last 100):-1190.50, avg loss:100.34
episode:39, eps:0.458, avg reward (last 100):-1187.95, avg loss:100.54
episode:40, eps:0.449, avg reward (last 100):-1184.07, avg loss:100.64
episode:41, eps:0.440, avg reward (last 100):-1180.27, avg loss:99.73
episode:42, eps:0.431, avg reward (last 100):-1178.89, avg loss:98.66
episode:43, eps:0.423, avg reward (last 100):-1173.83, avg loss:97.68
episode:44, eps:0.414, avg reward (last 100):-1170.43, avg loss:96.73
episode:45, eps:0.406, avg reward (last 100):-1168.15, avg loss:95.73
episode:46, eps:0.398, avg reward (last 100):-1174.24, avg loss:94.74
episode:47, eps:0.390, avg reward (last 100):-1176.80, avg loss:93.71
episode:48, eps:0.383, avg reward (last 100):-1176.07, avg loss:92.73
episode:49, eps:0.375, avg reward (last 100):-1177.14, avg loss:91.76
episode:50, eps:0.368, avg reward (last 100):-1173.93, avg loss:90.94
episode:51, eps:0.360, avg reward (last 100):-1180.66, avg loss:90.00
episode:52, eps:0.353, avg reward (last 100):-1180.84, avg loss:88.97
episode:53, eps:0.346, avg reward (last 100):-1182.86, avg loss:88.14
episode:54, eps:0.339, avg reward (last 100):-1185.41, avg loss:87.30
episode:55, eps:0.333, avg reward (last 100):-1183.41, avg loss:86.41
episode:56, eps:0.326, avg reward (last 100):-1180.81, avg loss:85.57
episode:57, eps:0.320, avg reward (last 100):-1175.11, avg loss:84.74
episode:58, eps:0.313, avg reward (last 100):-1173.20, avg loss:83.82
