Environment: CartPole-v0, Frames: 1000000.0
Algorithm Parameters: {'algorithm': 'IS', 'batch_size': 50, 'gamma': 0.99, 'learning_rate': 0.1, 'start_epsilon': 1.0, 'stop_epsilon': 0.001, 'epsilon_decay': 1e-05, 'use_stochastic_delay': False, 'delay': 0, 'min_delay': 0, 'seed': 0} 
Model Parameters: {'hidden_units': [200], 'max_buffer_size': 1000, 'min_buffer_size': 100, 'copy_step': 25, 'max_dimension': 0} 
Run: 0 
episode:0, eps:1.000, avg reward (last 100):-1787.98, avg loss:5.45
episode:1, eps:0.998, avg reward (last 100):-1822.76, avg loss:8.32
episode:2, eps:0.996, avg reward (last 100):-1737.03, avg loss:18.75
episode:3, eps:0.994, avg reward (last 100):-1729.17, avg loss:21.31
episode:4, eps:0.992, avg reward (last 100):-1587.13, avg loss:25.80
episode:5, eps:0.990, avg reward (last 100):-1618.05, avg loss:26.82
episode:6, eps:0.988, avg reward (last 100):-1586.43, avg loss:28.72
episode:7, eps:0.986, avg reward (last 100):-1507.63, avg loss:30.84
episode:8, eps:0.984, avg reward (last 100):-1425.52, avg loss:40.80
episode:9, eps:0.982, avg reward (last 100):-1435.88, avg loss:62.26
episode:10, eps:0.980, avg reward (last 100):-1403.18, avg loss:78.32
episode:11, eps:0.978, avg reward (last 100):-1398.30, avg loss:103.31
episode:12, eps:0.976, avg reward (last 100):-1376.69, avg loss:150.99
episode:13, eps:0.974, avg reward (last 100):-1369.26, avg loss:213.33
episode:14, eps:0.972, avg reward (last 100):-1341.34, avg loss:284.58
episode:15, eps:0.970, avg reward (last 100):-1311.15, avg loss:397.21
episode:16, eps:0.969, avg reward (last 100):-1310.74, avg loss:539.56
episode:17, eps:0.967, avg reward (last 100):-1295.10, avg loss:729.78
episode:18, eps:0.965, avg reward (last 100):-1286.51, avg loss:1000.78
episode:19, eps:0.963, avg reward (last 100):-1272.33, avg loss:1327.11
episode:20, eps:0.961, avg reward (last 100):-1259.22, avg loss:1606.07
episode:21, eps:0.959, avg reward (last 100):-1259.05, avg loss:2022.30
episode:22, eps:0.957, avg reward (last 100):-1260.25, avg loss:2514.92
episode:23, eps:0.955, avg reward (last 100):-1256.96, avg loss:3012.77
episode:24, eps:0.953, avg reward (last 100):-1249.20, avg loss:3659.62
episode:25, eps:0.951, avg reward (last 100):-1247.34, avg loss:4192.37
episode:26, eps:0.949, avg reward (last 100):-1251.35, avg loss:4888.77
episode:27, eps:0.947, avg reward (last 100):-1237.78, avg loss:5697.41
episode:28, eps:0.946, avg reward (last 100):-1237.98, avg loss:6792.42
episode:29, eps:0.944, avg reward (last 100):-1236.31, avg loss:8068.81
episode:30, eps:0.942, avg reward (last 100):-1230.83, avg loss:9456.04
episode:31, eps:0.940, avg reward (last 100):-1226.51, avg loss:10765.50
episode:32, eps:0.938, avg reward (last 100):-1237.85, avg loss:12142.17
episode:33, eps:0.936, avg reward (last 100):-1233.40, avg loss:13480.21
episode:34, eps:0.934, avg reward (last 100):-1249.91, avg loss:14910.85
episode:35, eps:0.932, avg reward (last 100):-1240.07, avg loss:16911.31
episode:36, eps:0.931, avg reward (last 100):-1250.80, avg loss:19261.65
episode:37, eps:0.929, avg reward (last 100):-1263.33, avg loss:21058.68
episode:38, eps:0.927, avg reward (last 100):-1264.37, avg loss:23092.35
episode:39, eps:0.925, avg reward (last 100):-1251.36, avg loss:25778.77
episode:40, eps:0.923, avg reward (last 100):-1241.59, avg loss:28722.64
episode:41, eps:0.921, avg reward (last 100):-1243.01, avg loss:31514.78
episode:42, eps:0.920, avg reward (last 100):-1239.00, avg loss:34476.82
episode:43, eps:0.918, avg reward (last 100):-1240.23, avg loss:37158.11
episode:44, eps:0.916, avg reward (last 100):-1232.24, avg loss:40502.98
episode:45, eps:0.914, avg reward (last 100):-1242.98, avg loss:42862.54
episode:46, eps:0.912, avg reward (last 100):-1242.72, avg loss:44503.70
episode:47, eps:0.910, avg reward (last 100):-1243.22, avg loss:47595.49
episode:48, eps:0.909, avg reward (last 100):-1243.14, avg loss:50707.49
episode:49, eps:0.907, avg reward (last 100):-1239.38, avg loss:53807.06
episode:50, eps:0.905, avg reward (last 100):-1230.02, avg loss:56601.09
episode:51, eps:0.903, avg reward (last 100):-1231.23, avg loss:58686.06
episode:52, eps:0.901, avg reward (last 100):-1230.40, avg loss:61329.50
episode:53, eps:0.900, avg reward (last 100):-1225.43, avg loss:64709.50
episode:54, eps:0.898, avg reward (last 100):-1229.20, avg loss:68419.60
episode:55, eps:0.896, avg reward (last 100):-1224.63, avg loss:70568.91
episode:56, eps:0.894, avg reward (last 100):-1232.09, avg loss:72811.51
episode:57, eps:0.892, avg reward (last 100):-1225.27, avg loss:74624.64
episode:58, eps:0.891, avg reward (last 100):-1220.03, avg loss:77272.10
episode:59, eps:0.889, avg reward (last 100):-1216.28, avg loss:80471.12
episode:60, eps:0.887, avg reward (last 100):-1218.29, avg loss:83147.00
episode:61, eps:0.885, avg reward (last 100):-1224.49, avg loss:86277.98
episode:62, eps:0.883, avg reward (last 100):-1228.81, avg loss:89631.53
episode:63, eps:0.882, avg reward (last 100):-1229.76, avg loss:92503.46
episode:64, eps:0.880, avg reward (last 100):-1222.86, avg loss:95025.59
episode:65, eps:0.878, avg reward (last 100):-1225.85, avg loss:97045.41
episode:66, eps:0.876, avg reward (last 100):-1225.79, avg loss:98745.15
episode:67, eps:0.875, avg reward (last 100):-1231.26, avg loss:101431.31
episode:68, eps:0.873, avg reward (last 100):-1225.72, avg loss:104134.06
episode:69, eps:0.871, avg reward (last 100):-1228.62, avg loss:106481.36
episode:70, eps:0.869, avg reward (last 100):-1223.79, avg loss:108013.21
episode:71, eps:0.868, avg reward (last 100):-1227.00, avg loss:109491.95
episode:72, eps:0.866, avg reward (last 100):-1230.55, avg loss:110335.42
episode:73, eps:0.864, avg reward (last 100):-1227.17, avg loss:111809.97
episode:74, eps:0.863, avg reward (last 100):-1222.77, avg loss:112603.36
episode:75, eps:0.861, avg reward (last 100):-1219.40, avg loss:113618.42
episode:76, eps:0.859, avg reward (last 100):-1216.09, avg loss:114756.08
episode:77, eps:0.857, avg reward (last 100):-1215.46, avg loss:116316.50
episode:78, eps:0.856, avg reward (last 100):-1217.53, avg loss:117619.02
episode:79, eps:0.854, avg reward (last 100):-1213.10, avg loss:118293.33
episode:80, eps:0.852, avg reward (last 100):-1214.81, avg loss:118760.88
episode:81, eps:0.851, avg reward (last 100):-1213.20, avg loss:119975.24
episode:82, eps:0.849, avg reward (last 100):-1217.26, avg loss:120710.56
episode:83, eps:0.847, avg reward (last 100):-1220.38, avg loss:120776.45
episode:84, eps:0.846, avg reward (last 100):-1221.42, avg loss:120650.04
episode:85, eps:0.844, avg reward (last 100):-1227.99, avg loss:120628.91
episode:86, eps:0.842, avg reward (last 100):-1235.19, avg loss:120520.77
episode:87, eps:0.840, avg reward (last 100):-1241.09, avg loss:120406.13
episode:88, eps:0.839, avg reward (last 100):-1238.62, avg loss:120141.62
episode:89, eps:0.837, avg reward (last 100):-1240.78, avg loss:119768.23
episode:90, eps:0.835, avg reward (last 100):-1242.53, avg loss:119510.75
episode:91, eps:0.834, avg reward (last 100):-1245.71, avg loss:119084.31
episode:92, eps:0.832, avg reward (last 100):-1241.37, avg loss:118544.91
episode:93, eps:0.830, avg reward (last 100):-1246.82, avg loss:118120.38
episode:94, eps:0.829, avg reward (last 100):-1243.99, avg loss:117632.45
episode:95, eps:0.827, avg reward (last 100):-1240.42, avg loss:117138.65
episode:96, eps:0.825, avg reward (last 100):-1241.08, avg loss:116682.59
episode:97, eps:0.824, avg reward (last 100):-1241.81, avg loss:116120.50
episode:98, eps:0.822, avg reward (last 100):-1240.12, avg loss:115404.80
episode:99, eps:0.821, avg reward (last 100):-1239.40, avg loss:114695.36
episode:100, eps:0.819, avg reward (last 100):-1236.43, avg loss:113903.45
episode:101, eps:0.817, avg reward (last 100):-1230.10, avg loss:114226.04
episode:102, eps:0.816, avg reward (last 100):-1226.11, avg loss:114587.64
episode:103, eps:0.814, avg reward (last 100):-1223.60, avg loss:115027.63
episode:104, eps:0.812, avg reward (last 100):-1223.30, avg loss:115486.41
episode:105, eps:0.811, avg reward (last 100):-1226.47, avg loss:115816.52
episode:106, eps:0.809, avg reward (last 100):-1217.53, avg loss:116108.34
episode:107, eps:0.808, avg reward (last 100):-1214.21, avg loss:116434.23
episode:108, eps:0.806, avg reward (last 100):-1216.33, avg loss:116779.44
episode:109, eps:0.804, avg reward (last 100):-1217.33, avg loss:117102.95
episode:110, eps:0.803, avg reward (last 100):-1212.95, avg loss:117501.27
episode:111, eps:0.801, avg reward (last 100):-1218.63, avg loss:117867.71
episode:112, eps:0.800, avg reward (last 100):-1214.53, avg loss:118237.74
episode:113, eps:0.798, avg reward (last 100):-1213.08, avg loss:118585.55
episode:114, eps:0.796, avg reward (last 100):-1210.31, avg loss:118959.59
episode:115, eps:0.795, avg reward (last 100):-1210.44, avg loss:119306.67
episode:116, eps:0.793, avg reward (last 100):-1210.52, avg loss:119617.30
episode:117, eps:0.792, avg reward (last 100):-1207.37, avg loss:119948.88
episode:118, eps:0.790, avg reward (last 100):-1207.50, avg loss:120425.09
episode:119, eps:0.788, avg reward (last 100):-1205.84, avg loss:120771.73
episode:120, eps:0.787, avg reward (last 100):-1210.79, avg loss:121302.45
episode:121, eps:0.785, avg reward (last 100):-1218.03, avg loss:121705.03
episode:122, eps:0.784, avg reward (last 100):-1215.23, avg loss:121883.66
episode:123, eps:0.782, avg reward (last 100):-1213.12, avg loss:122028.45
episode:124, eps:0.781, avg reward (last 100):-1217.83, avg loss:122074.90
episode:125, eps:0.779, avg reward (last 100):-1220.47, avg loss:122039.95
episode:126, eps:0.777, avg reward (last 100):-1224.43, avg loss:122019.40
episode:127, eps:0.776, avg reward (last 100):-1219.88, avg loss:121969.12
episode:128, eps:0.774, avg reward (last 100):-1227.39, avg loss:121849.34
episode:129, eps:0.773, avg reward (last 100):-1232.13, avg loss:121626.07
episode:130, eps:0.771, avg reward (last 100):-1232.57, avg loss:121340.82
episode:131, eps:0.770, avg reward (last 100):-1230.81, avg loss:120960.05
episode:132, eps:0.768, avg reward (last 100):-1234.30, avg loss:120588.23
episode:133, eps:0.767, avg reward (last 100):-1232.70, avg loss:120159.51
episode:134, eps:0.765, avg reward (last 100):-1232.90, avg loss:119697.25
episode:135, eps:0.764, avg reward (last 100):-1224.45, avg loss:119207.37
episode:136, eps:0.762, avg reward (last 100):-1227.02, avg loss:118493.92
episode:137, eps:0.761, avg reward (last 100):-1222.46, avg loss:117560.89
episode:138, eps:0.759, avg reward (last 100):-1217.17, avg loss:116853.04
episode:139, eps:0.758, avg reward (last 100):-1214.85, avg loss:116002.66
episode:140, eps:0.756, avg reward (last 100):-1223.88, avg loss:114824.34
episode:141, eps:0.755, avg reward (last 100):-1230.75, avg loss:113525.05
episode:142, eps:0.753, avg reward (last 100):-1228.09, avg loss:112188.55
episode:143, eps:0.752, avg reward (last 100):-1226.29, avg loss:110704.27
episode:144, eps:0.750, avg reward (last 100):-1223.24, avg loss:109276.59
episode:145, eps:0.749, avg reward (last 100):-1231.82, avg loss:107510.27
